id	uid	author	title	part	translator	year	number
1	"S1"	"Герцен А. И."	"Кто виноват. Роман в двух частях, Искандера"	"нет"	"нет"	1847	"1"
2	"S2"	"Санд Ж."	"Лукреция Флориани, роман Жоржа Санда, пер. А. Кронеберга"	"нет"	"Кронеберг А. И."	1847	"1"
3	"S3"	"Диккенс Ч."	"Торговый дом под фирмою «Домби и сын». Роман Чарльза Диккенса. Перевод И. Введенского"	"1"	"Введенский И. И."	1847	"1"
4	"S3"	"Диккенс Ч."	"Торговый дом под фирмою «Домби и сын». Роман Чарльза Диккенса. Перевод И. Введенского"	"2"	"Введенский И. И."	1847	"2"
5	"S3"	"Диккенс Ч."	"Торговый дом под фирмою «Домби и сын». Роман Чарльза Диккенса. Перевод И. Введенского"	"3"	"Введенский И. И."	1847	"3"
6	"S3"	"Диккенс Ч."	"Торговый дом под фирмою «Домби и сын». Роман Чарльза Диккенса. Перевод И. Введенского"	"4"	"Введенский И. И."	1847	"4"
7	"S3"	"Диккенс Ч."	"Торговый дом под фирмою «Домби и сын». Роман Чарльза Диккенса. Перевод И. Введенского"	"5"	"Введенский И. И."	1847	"5"
8	"S3"	"Диккенс Ч."	"Торговый дом под фирмою «Домби и сын». Роман Чарльза Диккенса. Перевод И. Введенского"	"6"	"Введенский И. И."	1848	"2"
9	"S3"	"Диккенс Ч."	"Торговый дом под фирмою «Домби и сын». Роман Чарльза Диккенса. Перевод И. Введенского"	"7"	"Введенский И. И."	1848	"3"
10	"S3"	"Диккенс Ч."	"Торговый дом под фирмою «Домби и сын». Роман Чарльза Диккенса. Перевод И. Введенского"	"8"	"Введенский И. И."	1848	"7"
11	"S3"	"Диккенс Ч."	"Торговый дом под фирмою «Домби и сын». Роман Чарльза Диккенса. Перевод И. Введенского"	"9"	"Введенский И. И."	1848	"8"
12	"S4"	"Челлини Б."	"Записки Бенвенуто Челлини флорентийского золотых дел мастера и скульптора"	"нет"	"нет"	1848	"1"
13	"S5"	"неизвестный"	"Литературный сборник с иллюстрациями"	"нет"	"нет"	1849	"3"
14	"S6"	"неизвестный"	"Денежный брак. Роман. Перевод А. И. Кронеберга"	"1"	"Кронеберг А. И."	1850	"1"
15	"S6"	"неизвестный"	"Денежный брак. Роман. Перевод А. И. Кронеберга"	"2"	"Кронеберг А. И."	1850	"3"
16	"S6"	"неизвестный"	"Денежный брак. Роман. Перевод А. И. Кронеберга"	"3"	"Кронеберг А. И."	1850	"6"
17	"S7"	"Теккерей В."	"Ярмарка тщеславия. Роман без героя. Соч. Вил. Теккерея"	"1"	"нет"	1850	"4"
18	"S7"	"Теккерей В."	"Ярмарка тщеславия. Роман без героя. Соч. Вил. Теккерея"	"2"	"нет"	1850	"5"
19	"S7"	"Теккерей В."	"Ярмарка тщеславия. Роман без героя. Соч. Вил. Теккерея"	"3"	"нет"	1850	"6"
20	"S7"	"Теккерей В."	"Ярмарка тщеславия. Роман без героя. Соч. Вил. Теккерея"	"4"	"нет"	1850	"7"
21	"S7"	"Теккерей В."	"Ярмарка тщеславия. Роман без героя. Соч. Вил. Теккерея"	"5"	"нет"	1850	"8"
22	"S7"	"Теккерей В."	"Ярмарка тщеславия. Роман без героя. Соч. Вил. Теккерея"	"6"	"нет"	1850	"9"
23	"S8"	"Сильсфильд Ч."	"Рассказы о первых американцах в Техасе. Роман"	"нет"	"нет"	1850	"12"
24	"S9"	"Диккенс Ч."	"Приключения, опыты и наблюдения Давида Копперфильда-младшего, роман Чарльза Диккенса"	"1"	"Николаев А. Н., Циммер, неизвестный"	1851	"1"
25	"S9"	"Диккенс Ч."	"Приключения, опыты и наблюдения Давида Копперфильда-младшего, роман Чарльза Диккенса"	"2"	"Николаев А. Н., Циммер, неизвестный"	1851	"2"
26	"S9"	"Диккенс Ч."	"Приключения, опыты и наблюдения Давида Копперфильда-младшего, роман Чарльза Диккенса"	"3"	"Николаев А. Н., Циммер, неизвестный"	1851	"3"
27	"S9"	"Диккенс Ч."	"Приключения, опыты и наблюдения Давида Копперфильда-младшего, роман Чарльза Диккенса"	"4"	"Николаев А. Н., Циммер, неизвестный"	1851	"4"
28	"S9"	"Диккенс Ч."	"Приключения, опыты и наблюдения Давида Копперфильда-младшего, роман Чарльза Диккенса"	"5"	"Николаев А. Н., Циммер, неизвестный"	1851	"5"
29	"S9"	"Диккенс Ч."	"Приключения, опыты и наблюдения Давида Копперфильда-младшего, роман Чарльза Диккенса"	"6"	"Николаев А. Н., Циммер, неизвестный"	1851	"6"
30	"S9"	"Диккенс Ч."	"Приключения, опыты и наблюдения Давида Копперфильда-младшего, роман Чарльза Диккенса"	"7"	"Николаев А. Н., Циммер, неизвестный"	1851	"7"
31	"S9"	"Диккенс Ч."	"Приключения, опыты и наблюдения Давида Копперфильда-младшего, роман Чарльза Диккенса"	"8"	"Николаев А. Н., Циммер, неизвестный"	1851	"8"
32	"S9"	"Диккенс Ч."	"Приключения, опыты и наблюдения Давида Копперфильда-младшего, роман Чарльза Диккенса"	"9"	"Николаев А. Н., Циммер, неизвестный"	1851	"9"
33	"S10"	"Диккенс Ч."	"Скиццы. Ч. Диккенса"	"1"	"нет"	1851	"11"
34	"S10"	"Диккенс Ч."	"Скиццы. Ч. Диккенса"	"2"	"нет"	1851	"12"
35	"S11"	"Диккенс Ч., неизвестный"	"Рассказы лучших иностранных писателей. (Семейная ссора. — Разбогатевшие мещане. Рассказ Диккенса)"	"нет"	"нет"	1851	"3"
36	"S12"	"Санд Ж."	"Итальянские артисты. Повесть. (Из «Revue des Deux Mondes»)"	"1"	"нет"	1851	"4"
37	"S12"	"Санд Ж."	"Итальянские артисты. Повесть. (Из «Revue des Deux Mondes»)"	"2"	"нет"	1851	"5"
38	"S13"	"Вергилий"	"Энеида Вергилия. Перевод Г. Шершеневича"	"1"	"Шершеневич И. Г."	1851	"11"
39	"S13"	"Вергилий"	"Энеида Вергилия. Перевод Г. Шершеневича"	"2"	"Шершеневич И. Г."	1851	"12"
40	"S13"	"Вергилий"	"Энеида Вергилия. Перевод Г. Шершеневича"	"3"	"Шершеневич И. Г."	1852	"1"
41	"S13"	"Вергилий"	"Энеида Вергилия. Перевод Г. Шершеневича"	"4"	"Шершеневич И. Г."	1852	"2"
