id	uid	author	attribution	signature	signature_index	title	part	translator	dedication	type	year	publication	censorship	censor	volume	number	section_content	section_form	first_page	last_page	length	filename_txt	comments
1	4764	"Панаев И. И."	"установлено"	"нет"	"И. И. Панаева"	"Родственники. Нравственная повесть"	"1"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Словесность"	"Словесность"	1	69	69	"1847_1_1"	""
2	1	"Тургенев И. С."	"установлено"	"И. Тургенев"	"И. С. Тургенева"	"Деревня («Люблю я вечером к деревне подъезжать...». — На охоте — летом. — Безлунная ночь. — Дед. — Гроза. — Другая ночь. — «Кроткие льются лучи с небес на согретую землю...». — Перед охотой. — Первый снег)"	"нет"	"нет"	"нет"	"стихи"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Словесность"	"Словесность"	70	76	7	"1847_1_2"	""
3	2	"Щепкин М. С."	"установлено"	"– – ъ"	"– – – на"	"Из записок артиста"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Словесность"	"Словесность"	77	89	13	"1847_1_3"	""
4	3	"Огарев Н. П."	"установлено"	"Н. Огарев"	"Н. П. Огарева"	"«Бываю часто я смущен внутри души...»"	"нет"	"нет"	"нет"	"стихи"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Словесность"	"Словесность"	90	90	1	"1847_1_4"	""
5	4	"Некрасов Н. А."	"установлено"	"Н. Некрасов"	"Н. А. Некрасова"	"Тройка («Что ты жадно глядишь на дорогу...»)"	"нет"	"нет"	"И. И. Маслову"	"стихи"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Словесность"	"Словесность"	91	92	2	"1847_1_5"	""
6	5	"Кавелин К. Д."	"установлено"	"К. Кавелин"	"К. Д. Кавелина"	"Взгляд на юридический быт древней России"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Науки и художества"	"Науки и художества"	1	52	52	"1847_1_6"	""
7	6	"Никитенко А. В."	"установлено"	"А. Никитенко"	"А. В. Никитенко"	"О современном направлении русской литературы"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Науки и художества"	"Науки и художества"	53	74	22	"1847_1_7"	""
8	7	"Белинский В. Г., Кавелин К. Д."	"установлено"	"нет"	"нет"	"Взгляд на русскую литературу 1846 года"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Критика и библиография"	"Критика и библиография"	1	56	56	"1847_1_8"	""
9	8	"Белинский В. Г."	"установлено"	"В. Б."	"нет"	"Похождения Чичикова, или Мертвые души. Поэма Н. Гоголя. Издание второе. М. 1846"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Критика и библиография"	"Критика и библиография"	56	59	4	"1847_1_9"	""
10	9	"Тургенев И. С."	"установлено"	"Т."	"нет"	"Генерал-поручик Паткуль, трагедия в пяти действиях, в стихах. СПб. Сочинение Нестора Кукольника"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Критика и библиография"	"Критика и библиография"	59	81	23	"1847_1_10"	""
11	10	"Белинский В. Г."	"установлено"	"нет"	"нет"	"Полное собрание сочинений русских авторов. 1) Сочинения Озерова. Издание Александра Смирдина. СПб. 1846. 2) Сочинения Фонвизина. Издание Александра Смирдина. СПб. 1846"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Критика и библиография"	"Критика и библиография"	81	84	4	"1847_1_11"	""
12	11	"Белинский В. Г."	"установлено"	"нет"	"нет"	"Сборник газеты «Кавказ». Издаваемый О. И. Константиновым. Первое полугодие 1846 года. Тифлис. 1846"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Критика и библиография"	"Критика и библиография"	85	85	1	"1847_1_12"	""
13	12	"Кронеберг А. И."	"установлено"	"А. Кронеберг"	"А. И. Кронеберга"	"Последние романы Жорж Санд"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Критика и библиография"	"Критика и библиография"	86	102	17	"1847_1_13"	""
14	13	"Небольсин Г. П."	"установлено"	"Г. Н—ъ"	"Г. Н—на"	"О преобразовании хлебного закона в Великобритании и о видах на сбыт хлеба в это государство"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Смесь"	"Смесь"	1	19	19	"1847_1_14"	""
15	14	"Комаров А. С."	"под вопросом"	"нет"	"нет"	"Кронштадтская железная дорога"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Смесь"	"Смесь"	19	21	3	"1847_1_15"	""
16	15	"Небольсин Г. П."	"под вопросом"	"нет"	"нет"	"Русское гуано"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Смесь"	"Смесь"	21	22	2	"1847_1_16"	""
17	16	"Небольсин Г. П."	"под вопросом"	"нет"	"нет"	"Движение судоходства в Рыбинске в 1846 г. и важность новооткрытого Белозерского канала"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Смесь"	"Смесь"	22	25	4	"1847_1_17"	""
18	17	"неизвестный"	"не установлено"	"нет"	"нет"	"Сообщение между Немецким и Черным морями посредством Лудвигского канала"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Смесь"	"Смесь"	25	26	2	"1847_1_18"	""
19	18	"неизвестный"	"не установлено"	"нет"	"нет"	"Огнестрельная хлопчатая бумага"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Смесь"	"Смесь"	26	29	4	"1847_1_19"	""
20	19	"неизвестный"	"не установлено"	"нет"	"нет"	"Примесь соли в корм домашнего скота"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Смесь"	"Смесь"	29	33	5	"1847_1_20"	""
21	20	"Комаров А. С."	"под вопросом"	"нет"	"нет"	"Несколько слов о г. Леверрье"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Смесь"	"Смесь"	33	33	1	"1847_1_21"	""
22	21	"Ильенков П. А."	"под вопросом"	"нет"	"нет"	"Отделение простого тела — фтора"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Смесь"	"Смесь"	33	34	2	"1847_1_22"	""
23	4711	"Анненков П. В."	"установлено"	"П. А—в"	"П. А—ва"	"Письмо из Парижа. 8 ноября 1846 года"	"1"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Смесь"	"Смесь"	34	40	7	"1847_1_23"	""
24	22	"неизвестный"	"не установлено"	"нет"	"нет"	"Письма из Китая"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Смесь"	"Смесь"	40	45	6	"1847_1_24"	""
25	23	"Достоевский Ф. М."	"установлено"	"Ф. Достоевский"	"Ф. Достоевского"	"Роман в девяти письмах"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Смесь"	"Смесь"	45	54	10	"1847_1_25"	""
26	24	"Тургенев И. С."	"установлено"	"Ив. Тургенев"	"И. Тургенева"	"Хорь и Калиныч. (Из записок охотника)"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Смесь"	"Смесь"	55	64	10	"1847_1_26"	""
27	25	"Панаев И. И."	"установлено"	"нет"	"нет"	"Новый поэт"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Смесь"	"Смесь"	64	71	8	"1847_1_27"	""
28	26	"Тургенев И. С., Некрасов Н. А., неизвестный"	"установлено частично"	"нет"	"нет"	"Современные заметки"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Смесь"	"Смесь"	71	82	12	"1847_1_28"	""
29	27	"неизвестный"	"не установлено"	"нет"	"нет"	"Аукцион в пользу заведений Женского патриотического общества"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Смесь"	"Смесь"	83	84	2	"1847_1_29"	""
30	28	"Панаев И. И., Панаева А. Я."	"установлено"	"нет"	"нет"	"<Моды>"	"нет"	"нет"	"нет"	"проза"	1847	"01.01.1847"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"1"	"Моды"	"Моды"	1	2	2	"1847_1_30"	""
31	29	"Кудрявцев П. Н."	"установлено"	"Нестроев"	"Нестроева"	"Без рассвета. Повесть"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Словесность"	"Словесность"	95	156	62	"1847_2_1"	""
32	30	"Некрасов Н. А."	"установлено"	"Н. Некрасов"	"Н. А. Некрасова"	"Псовая охота («Сторож вкруг дома господского ходит...»)"	"нет"	"нет"	"нет"	"стихи"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Словесность"	"Словесность"	157	166	10	"1847_2_2"	""
33	31	"Мельгунов Н. А."	"установлено"	"нет"	"Л."	"Силуэты провинциальной жизни. Иван Филиппович Вернет, швейцарский уроженец и русский писатель. Из воспоминаний обыкновенного человека"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Словесность"	"Словесность"	167	195	29	"1847_2_3"	""
